observer_summit_id,observer_latitude,observer_longitude,observer_elevation,target_summit_id,target_latitude,target_longitude,target_elevation,distance,contrast
1603360,24.3186,93.4239,2023.88,2260,27.8469,92.3947,6490.56,405562,0.0367
1658198,26.0972,94.2831,1989.07,156,29.6392,95.0653,7354.89,401283,0.0424
1658198,26.0972,94.2831,1989.07,415,29.6622,95.1344,6984.65,405139,0.0384
1701340,25.5308,91.8497,1962.31,2,27.7028,88.1475,8564.29,440163,0.0812
1701340,25.5308,91.8497,1962.31,153,27.6881,88.0497,7363.68,447464,0.0615
1701340,25.5308,91.8497,1962.31,157,27.6361,88.1183,7354.6,438683,0.0682
1701340,25.5308,91.8497,1962.31,1276,27.5781,88.2164,6630.67,427072,0.068
1857771,25.1722,93.2417,1871.98,97,28.0475,90.4544,7501.17,423055,0.0566
2082534,25.8531,94.1639,1755.58,156,29.6392,95.0653,7354.89,430232,0.0286
2102412,25.0992,93.0469,1746.09,97,28.0475,90.4544,7501.17,417036,0.0559
2102412,25.0992,93.0469,1746.09,121,28.2272,90.6153,7428.03,423478,0.0477
2102412,25.0992,93.0469,1746.09,4772,28.0522,90.7486,6312.3,400045,0.0513
2176793,25.1467,92.7247,1711.79,121,28.2272,90.6153,7428.03,401534,0.0572
2959200,25.4617,90.3222,1418.95,0,27.9892,86.9256,8737.79,439025,0.0657
2959200,25.4617,90.3222,1418.95,6,27.9617,86.9325,8415.98,436578,0.0642
2959200,25.4617,90.3222,1418.95,7,27.8914,87.0886,8242.92,419743,0.0742
2959200,25.4617,90.3222,1418.95,47,27.9306,87.1075,7757.46,421093,0.0663
3119110,26.1467,93.5067,1370.27,172090,28.2647,96.8825,5191.24,408519,0.0531
3157419,26.2589,93.3705,1358.95,172090,28.2647,96.8825,5191.24,412577,0.0534
3157419,26.2589,93.3705,1358.95,284309,28.8403,96.2628,4867.88,404559,0.0415
1920114,28.1417,105.7628,1837.84,115,29.595,101.8792,7437.52,411219,0.1089
1920114,28.1417,105.7628,1837.84,15787,31.1064,102.9019,6040.85,430243,0.038
2037391,28.2097,105.5397,1777.48,15787,31.1064,102.9019,6040.85,410710,0.0463
2037391,28.2097,105.5397,1777.48,168460,30.5756,102.4256,5202.87,400250,0.0559
2037391,28.2097,105.5397,1777.48,247823,30.615,102.4383,4969.95,402179,0.0515
2052527,28.4814,106.3283,1770.32,115,29.595,101.8792,7437.52,449867,0.0833
2119685,28.4133,106.2381,1737.79,115,29.595,101.8792,7437.52,443761,0.0863
986637,33.9506,35.8886,2623.33,694501,37.3453,34.3595,3421.18,401947,0.0254
1121844,38.6006,48.4581,2437.0,66440,35.9544,52.1105,5598.75,436976,0.0449
1121844,38.6006,48.4581,2437.0,480046,36.0872,51.9514,4251.62,416435,0.0438
1121844,38.6006,48.4581,2437.0,655896,36.2611,52.0292,3581.43,408719,0.0443
1121844,38.6006,48.4581,2437.0,658936,41.9594,46.3928,3569.0,412497,0.0237
1121844,38.6006,48.4581,2437.0,697257,41.9208,46.4514,3410.0,406531,0.0247
1121844,38.6006,48.4581,2437.0,735254,41.8967,46.4833,3260.0,402980,0.025
719625,32.8817,52.4017,3320.3,317095,36.3753,50.9608,4775.25,410216,0.0348
826029,36.7931,55.1944,2960.54,502104,36.5117,50.6986,4170.56,402244,0.1029
826029,36.7931,55.1944,2960.54,572782,36.55,50.5103,3910.74,418589,0.0836
