latitude,longitude,elevation,isolation,summit_name,wikipedia
-30.4375,152.24,1585.87,186090.0,Round Mountain,en:Round Mountain (Northern Tablelands)
59.6317,59.135,1570.02,477627.0,Конжаковский Камень,
75.1667,57.8167,1548.99,1065136.0,,
48.4242,75.4708,1548.99,429326.0,,
-14.7242,26.85,1541.98,275156.0,,
-16.2825,28.1233,1540.76,219938.0,,
46.8108,151.79,1538.94,339336.0,Milne,
-23.4008,132.395,1531.01,1549281.0,Mount Zeil,en:Mount Zeil
12.1125,-12.2633,1530.71,342453.0,Mount Loura,
27.51,41.5483,1530.71,182459.0,,
-67.3083,164.6317,1524.0,366402.0,,
51.2975,123.1283,1514.86,352870.0,,
12.575,54.0225,1502.97,469277.0,Jebel Skand,
22.8025,44.9167,1502.97,327651.0,,
-20.2683,-46.4358,1502.97,165200.0,,
38.7,-79.5333,1481.63,282318.0,Spruce Knob,en:Spruce Knob
50.8842,118.1758,1474.93,173717.0,,
62.9142,176.5158,1467.92,247868.0,,
16.045,-61.6642,1467.0,672650.0,La Découverte,
10.8875,13.7808,1461.82,267316.0,Mont Oupay,
11.9833,31.0708,1449.93,401865.0,,
64.9925,-165.3292,1436.83,453479.0,Mount Osborn,en:Mount Osborn
-26.3192,131.7442,1435.0,329792.0,Mount Woodroffe,en:Mount Woodroffe
16.7108,52.5108,1412.75,188501.0,,
76.9192,16.1408,1399.95,224844.0,Hornsundtind,
-33.3442,148.9825,1396.9,218271.0,Gaanha-bula–Mount Canobolas,
24.7275,42.6742,1389.89,204047.0,,
-58.4408,-26.3292,1374.95,719481.0,,
-18.7717,21.7533,1374.95,351918.0,Male Hill,
-74.5358,-86.89,1371.9,230338.0,,
9.135,23.145,1366.72,366373.0,,
17.1458,22.4967,1353.92,357111.0,,
22.4492,78.3717,1349.96,489667.0,Dhupgarh,en:Dhupgarh
56.7967,-5.0033,1343.86,738611.0,Ben Nevis,en:Ben Nevis
-22.6325,44.1675,1342.95,200118.0,,
18.1725,-66.5917,1338.07,393590.0,Cerro de Punta,en:Cerro de Punta
-17.615,178.0183,1324.05,1037029.0,Tomanivi,
-18.12,-60.02,1320.09,367474.0,,
14.3442,21.6583,1310.94,248921.0,,
-60.5808,-45.4783,1294.79,473351.0,,
-9.81,-139.0692,1275.89,1408104.0,Temetiu,fr:Mont Temetiu
41.9992,-74.3858,1274.06,219604.0,,
-21.015,148.6008,1270.1,494390.0,Mount William,
48.9875,-65.9483,1267.97,405902.0,Mont Jacques-Cartier,en:Mount Jacques-Cartier
-22.9808,118.5875,1249.07,1213236.0,Mount Meharry,en:Mount Meharry
-24.9517,148.1192,1248.77,438749.0,,
-38.1583,-61.9517,1239.01,540666.0,Cerro Tres Picos,es:Cerro Tres Picos
23.4892,83.6117,1233.83,261412.0,,
-20.9308,22.5008,1231.7,172390.0,,
-46.9042,37.7083,1229.87,1804868.0,,
3.6825,-56.5358,1229.87,373018.0,Julianatop,en:Julianatop
67.7258,33.4733,1200.91,509672.0,Юдычвумчорр,ru:Юдычвумчорр
-8.16,-36.3925,1198.78,564585.0,,
20.5258,31.5283,1198.78,407051.0,,
-23.1017,134.9033,1193.9,168406.0,Mount Brassey,
28.1942,13.9767,1189.02,442654.0,,
64.855,-173.4367,1188.72,284797.0,,
53.6467,-58.5525,1185.98,518981.0,,
21.6483,86.3592,1180.8,256616.0,,
22.9917,81.655,1172.87,206092.0,,
-31.5033,138.5508,1167.99,860574.0,Saint Mary Peak,en:Wilpena Pound
-37.3417,142.5767,1167.08,276461.0,Durd Durd,
-0.1958,104.55,1164.95,343732.0,,
15.2567,-1.6683,1154.89,1007988.0,Hombori Tondo,
-4.7825,-40.1325,1153.97,405690.0,,
75.5633,111.0692,1146.05,779792.0,,
21.5275,70.5275,1145.13,350512.0,Ambaji Peak (Girnar),
52.3217,-70.4458,1139.95,467054.0,Mont Yapeitso,fr:Mont Yapeitso
21.985,-80.1325,1139.95,393908.0,,
1.5283,-59.2392,1137.82,252442.0,,
36.175,120.6267,1132.94,315797.0,Mount Lao,
15.06,30.415,1126.85,283966.0,,
-10.8325,-63.5775,1125.93,597651.0,Pico do Tracuá,
59.825,92.8542,1123.8,534562.0,,
48.6442,66.9458,1116.79,364031.0,АулиеТау,
31.225,38.5317,1112.82,191499.0,,
-19.6683,-175.0158,1108.86,609590.0,Kao,
51.5308,-68.0767,1103.99,184725.0,Mont Veyrier,
-77.6308,-153.6808,1097.89,247360.0,,
-34.375,118.2558,1095.15,1226231.0,Bluff Knoll,
-46.4208,52.2275,1089.96,1109088.0,,
53.0683,-4.0758,1085.09,368725.0,Snowdon,cy:Yr Wyddfa
-19.6092,169.4017,1083.87,360530.0,,
