latitude,longitude,elevation,prominence,summit_name,wikipedia
12.1119,-12.2636,1534.25,1045.11,Colline Mali,
51.2972,123.1283,1525.42,665.99,Yilehuli Shan,
-23.4011,132.3956,1518.3,1312.16,Mount Zeil,en:Mount Zeil
46.8144,151.7875,1517.79,1517.79,Vulkan Milna,
12.575,54.0222,1513.74,1513.74,Mashaniq,
23.2789,44.593,1509.16,612.47,,
-20.2667,-46.4344,1507.81,732.84,,
38.7004,-79.5325,1482.55,855.88,Spruce Knob,en:Spruce Knob
76.4386,-62.2592,1477.62,584.59,Haffner Bjerg,
50.8844,118.1775,1477.46,601.98,,
10.8881,13.7806,1472.06,1096.62,Hosséré Oupay,
62.9144,176.515,1462.95,1237.44,,
16.0447,-61.6639,1460.4,1460.4,La Grande Soufrière,
11.9828,31.0703,1458.22,873.11,Jebel Temading,
-26.3183,131.7442,1435.79,950.1,Ngarutjaranya,en:Mount Woodroffe
16.705,52.53,1420.13,495.0,,
64.9922,-165.3294,1406.44,1302.67,Mount Osborn,en:Mount Osborn
24.7272,42.6739,1402.47,403.06,,
-33.3442,148.9822,1394.29,673.47,Mount Canobolas,
-66.7289,112.8333,1389.26,567.09,,
-18.7722,21.7533,1387.3,357.99,Tsodilo Hills,
29.3667,37.2397,1380.66,405.9,,
76.92,16.14,1376.22,1231.93,Hornsundtind,
9.1369,23.1461,1370.46,699.01,Mont Toussoro,
-33.7625,-80.8128,1369.3,1369.3,,
17.1458,22.4967,1359.9,494.4,Ennedi High Point,
56.7967,-5.0036,1342.64,1342.64,Ben Nevis,en:Ben Nevis
18.1722,-66.5919,1328.76,1328.76,Cerro de Punta,en:Cerro de Punta
22.4153,78.4092,1325.63,948.38,,
14.3433,21.6581,1325.52,455.21,,
-17.6147,178.0183,1323.27,1323.27,Mount Tomanivi,
-18.1206,-60.0167,1305.29,963.53,Serrania de Santiago,
29.0956,-118.3111,1289.96,1289.96,Monte Augusta,
-60.5811,-45.4783,1280.97,1280.97,Mount Nivea,
48.9875,-65.9486,1274.93,1094.14,Mont Jacques-Cartier,en:Mount Jacques-Cartier
41.9991,-74.386,1274.06,1000.66,Slide Mountain,
-21.0153,148.6014,1266.76,1006.04,Mount William,
81.4936,-52.6292,1266.04,558.35,Rink Firn,
-24.9528,148.125,1259.17,913.01,Consuelo Tableland,
3.6825,-56.5356,1254.34,1169.4,Julianatop,en:Julianatop
-9.8086,-139.0719,1253.91,1253.91,Mont Temetiu,fr:Mont Temetiu
-22.9806,118.5878,1247.15,837.16,Mount Meharry,en:Mount Meharry
-46.9039,37.7097,1240.21,1240.21,Mascarin Peak,
-38.1583,-61.9517,1237.86,1075.92,Cerro Tres Picos,es:Cerro Tres Picos
23.4889,83.6117,1233.78,742.47,Guartala Hills,
20.5261,31.5283,1217.32,863.7,Jebel Kuror,
-23.1014,134.9036,1205.36,490.55,Mount Brassey,
-8.16,-36.3922,1200.39,735.9,Serra da Boa Vista - Pico 1195,
67.725,33.475,1200.36,1050.62,Gora Yudychvumchorr,ru:Юдычвумчорр
53.6461,-58.5542,1194.12,848.2,Mealy Mountains High Point,
64.8558,-173.4339,1188.16,1066.69,,
21.6483,86.3589,1186.32,846.41,,
22.9936,81.6544,1182.89,661.9,,
-37.2931,142.6014,1163.92,894.13,Mount William,
1.5283,-59.2394,1160.33,912.87,Wassari Mountains High Point,
-31.5039,138.5519,1158.64,1016.91,Saint Mary Peak,en:Wilpena Pound
-59.0403,-26.5325,1153.01,1153.01,Mount Darnley,en:Mount Darnley
-59.0403,-26.5325,1153.01,1153.01,Mount Darnley,en:Mount Darnley
75.8975,107.7075,1151.13,1119.55,,
15.2606,-1.6644,1149.7,859.28,Hombori Tondo,
52.3219,-70.4458,1147.61,696.6,Mont Yapeitso,fr:Mont Yapeitso
-77.6244,-153.6858,1145.57,317.61,,
-4.7664,-40.1314,1141.48,719.3,Serra do Olho d'água - Pico 1130,
15.06,30.4153,1130.28,639.44,,
21.9897,-80.1475,1130.27,1099.09,Pico San Juan,
28.2003,13.9703,1128.45,604.0,,
59.8247,92.8539,1126.5,800.17,Gora Yenashimskiy Polkan,
48.6444,66.9453,1124.18,663.62,Gori Ulitau,
31.225,38.5322,1117.94,379.25,,
-10.8319,-63.5775,1115.24,842.33,Pico do Tracuá,
-0.1964,104.5503,1113.24,1113.24,Daik,
-4.2083,-38.9747,1111.4,878.44,Serra Baturité - Pico 1112,en:Pico Alto
36.1753,120.6261,1109.73,1098.7,Laoshan,
51.5311,-68.0769,1103.33,574.49,Mont Veyrier,
27.3233,17.2136,1085.98,564.72,Qarat ar Razzah,
-19.5767,169.3883,1082.66,1082.66,Mount Tuskomera,
-19.6033,144.0553,1077.13,537.26,,
53.0686,-4.0761,1074.5,1026.46,Snowdon,cy:Yr Wyddfa
0.9553,13.6858,1071.8,548.48,Mont Bengoué,
-46.4178,52.2472,1065.5,1065.5,Mont Marion-Dufresne,en:Mont Marion-Dufresne
-34.3761,118.2553,1061.43,820.21,Bluff Knoll,
21.5278,70.5292,1061.11,1041.61,Girnar,
-19.2014,-57.5925,1059.09,963.22,Morro do Urucum,
27.6583,75.3922,1048.51,648.81,Malkhet Hills,
-17.7844,-48.6867,1043.4,304.78,,
-17.2372,-51.7761,1042.56,422.39,,
50.9794,-65.4892,1042.34,510.91,,
18.7906,-110.9758,1042.01,1042.01,Cerro Evermann,
-1.6164,11.765,1038.58,571.41,Peak 1022,
51.9992,-9.7428,1032.9,1032.9,Carrauntoohil,ga:Corrán Tuathail
-19.6681,-175.0161,1030.62,1030.62,Kao,
3.9761,108.3361,1000.99,1000.99,Gunung Ranai,
59.1906,-115.5994,1000.92,671.11,Caribou Mountains High Point,
7.0858,0.6625,996.51,729.8,,
76.3461,65.0033,990.72,392.49,,
55.9817,100.9783,982.64,462.75,,
-17.4361,127.2364,982.52,616.98,Mount Wells,
-74.8019,-99.2358,981.63,421.11,,
52.8933,172.9808,966.82,966.82,Attu Mountain,en:Attu Island
-24.3564,150.9395,965.73,615.99,Kroombit Tops High Point,
31.975,13.3197,965.18,395.04,Dakhret-Musba,
18.7683,145.675,959.11,959.11,Agrihan - East False Summit,
79.5903,99.1492,956.23,956.23,Karpinsky Icecap,
18.3364,32.7403,955.64,525.59,,
-15.8719,-57.2175,943.65,659.18,Serra da Bocaina,
66.7311,109.39,942.46,518.99,Kuokda Tretya,
-17.3211,125.5608,938.37,609.29,Mount Ord,
-15.8731,-46.2344,937.39,322.18,,
53.08,70.1889,933.32,576.77,Gora Sinyukha,
53.8758,-66.0525,930.42,427.77,Pic Muriel,
-3.3144,11.1528,925.48,761.5,,
58.4228,104.8355,916.87,471.31,,
-4.645,55.4392,915.68,915.68,Morne Seychellois,en:Morne Seychellois
7.0994,5.0825,915.05,596.11,Idanre Hill,
22.6511,-12.5744,912.48,599.01,Kdeyyat ej Joul,
69.9661,109.6094,908.51,678.51,Pik 908,
-24.9944,120.4911,908.25,313.08,Mount Essendon,
-40.3022,-9.9633,904.81,904.81,Expedition Peak,
-6.4025,-50.3325,903.67,629.71,Serra dos Carajás - Pico 898,
