id,latitude,longitude,elevation,MHD
795.0,-15.8717,-57.2175,940.92,118269.7
796.0,-17.3217,125.5608,938.78,118135.1
797.0,-17.3211,125.5608,938.37,118109.3
798.0,-15.8731,-46.2344,937.39,118047.6
799.0,18.3367,32.7408,935.74,117943.7
800.0,52.8933,172.98,934.82,117885.7
801.0,53.08,70.1889,933.32,117791.1
802.0,53.8758,-66.0525,930.42,117608.0
803.0,20.025,2.4308,926.9,117385.3
804.0,-3.3144,11.1528,925.48,117295.3
805.0,-3.3258,11.1933,924.76,117249.7
806.0,-11.6533,166.8742,922.93,117133.6
807.0,53.8708,-66.0567,917.75,116804.4
808.0,58.4228,104.8355,916.87,116748.4
809.0,53.08,70.1883,915.92,116687.9
810.0,-4.645,55.4392,915.68,116672.6
811.0,7.0994,5.0825,915.05,116632.5
812.0,22.6508,-12.5742,915.01,116630.0
813.0,-24.9933,120.49,914.1,116571.9
814.0,22.6511,-12.5744,912.48,116468.6
815.0,58.4225,104.835,911.96,116435.4
816.0,-40.3092,-9.9467,910.13,116318.5
817.0,69.9661,109.6094,908.51,116215.0
818.0,-24.9944,120.4911,908.25,116198.3
819.0,69.965,109.6158,908.0,116182.3
820.0,63.1267,97.79,904.95,115987.0
821.0,-4.645,55.4392,904.95,115987.0
822.0,-40.3022,-9.9633,904.81,115978.1
823.0,-6.4025,-50.3325,903.67,115905.0
824.0,7.1,5.0825,900.99,115733.0
825.0,63.1275,97.7889,900.83,115722.7
826.0,-6.4033,-50.3325,899.77,115654.6
827.0,63.2939,100.9128,898.56,115576.8
828.0,55.3339,-67.7044,895.57,115384.4
829.0,-79.5661,-45.6133,893.15,115228.4
830.0,55.3333,-67.7033,889.71,115006.2
831.0,63.7225,104.5442,887.88,114887.9
832.0,-4.4144,12.7642,884.08,114641.8
833.0,64.0131,96.9939,883.9,114630.1
834.0,62.2967,-7.0133,882.09,114512.7
835.0,63.7225,104.5411,880.89,114434.8
836.0,-37.8492,77.5483,880.87,114433.5
837.0,32.6389,21.84,880.13,114385.4
838.0,53.9144,-62.0042,880.12,114384.7
839.0,-4.4142,12.7642,879.96,114374.3
840.0,53.9158,-62.0017,879.96,114374.3
841.0,32.6392,21.84,878.74,114295.0
842.0,57.4211,-113.6067,875.18,114063.3
843.0,-31.58,159.0825,875.08,114056.8
844.0,62.2967,-7.0128,875.02,114052.9
845.0,8.6339,20.0811,873.35,113944.0
846.0,6.1683,26.5892,872.95,113917.9
847.0,50.2256,126.5097,872.07,113860.4
848.0,8.6342,20.0825,871.73,113838.2
849.0,-2.4192,14.3758,871.73,113838.2
850.0,-37.8489,77.5483,869.9,113718.7
851.0,69.2425,-121.54,869.9,113718.7
852.0,69.2422,-121.5383,868.72,113641.5
853.0,50.2258,126.5092,866.85,113519.2
854.0,-0.7342,-73.0875,860.15,113079.6
855.0,-7.9517,-14.3425,858.93,112999.4
856.0,3.5775,-53.5192,851.0,112476.5
857.0,-7.9517,-14.3431,848.48,112309.9
858.0,6.2503,-0.5758,846.2,112158.9
859.0,11.6933,6.7792,844.91,112073.4
860.0,-1.0353,-53.9008,843.75,111996.4
861.0,-1.0358,-53.9017,842.77,111931.3
862.0,53.4169,-102.3058,842.04,111882.9
863.0,57.6683,-105.275,841.86,111870.9
864.0,-25.9017,-56.16,841.86,111870.9
865.0,61.9858,-119.8325,839.72,111728.6
866.0,51.4692,-100.7208,839.48,111712.6
867.0,61.9381,96.4228,839.31,111701.3
868.0,35.1671,-93.6447,839.11,111688.0
869.0,35.1675,-93.645,839.11,111688.0
870.0,18.9394,1.0286,838.68,111659.4
871.0,24.2342,141.4633,834.85,111404.2
872.0,3.5436,-53.5742,831.92,111208.5
873.0,51.47,-100.7208,831.8,111200.5
874.0,49.77,-102.5967,830.88,111139.0
875.0,53.15,-107.4742,830.58,111118.9
876.0,69.5325,105.7739,829.3,111033.2
877.0,-25.9028,-56.1594,829.2,111026.5
878.0,53.4142,-102.3058,828.14,110955.6
879.0,17.96,27.225,824.79,110730.9
880.0,18.94,1.0283,824.79,110730.9
881.0,-13.7742,143.3217,823.87,110669.1
