latitude,longitude,elevation,summit_name,wikipedia
-31.5033,138.5508,1167.99,Saint Mary Peak,en:Wilpena Pound
-37.3417,142.5767,1167.08,Mount William,
-0.1958,104.55,1164.95,Daik,
1.5283,-59.2394,1160.33,Wassari Mountains High Point,
15.2567,-1.6683,1154.89,Hombori Tondo,
-4.7825,-40.1325,1153.97,Pico Serra Branca,
75.8975,107.7075,1151.13,,
52.3219,-70.4458,1147.61,Mont Yapeitso,fr:Mont Yapeitso
-77.6244,-153.6858,1145.57,,
21.5275,70.5275,1145.13,Girnar,
21.985,-80.1325,1139.95,Pico San Juan,
36.175,120.6267,1132.94,Laoshan,
15.06,30.4153,1130.28,,
59.8247,92.8539,1126.5,Gora Yenashimskiy Polkan,
-10.8325,-63.5775,1125.93,Pico do Tracuá,
48.6444,66.9453,1124.18,Gori Ulitau,
31.225,38.5322,1117.94,,
-4.2083,-38.9747,1111.4,Serra Baturité - Pico 1112,en:Pico Alto
-19.6683,-175.0158,1108.86,Kao,
51.5308,-68.0767,1103.99,Mont Veyrier,
-34.375,118.2558,1095.15,Bluff Knoll,
-46.4208,52.2275,1089.96,Mont Marion-Dufresne,
27.3233,17.2136,1085.98,Qarat ar Razzah,
53.0683,-4.0758,1085.09,Snowdon,cy:Yr Wyddfa
-19.6092,169.4017,1083.87,Mount Tuskomera,
-19.6033,144.0553,1077.13,,
0.9553,13.6858,1071.8,Mont Bengoué,
-19.2017,-57.5933,1064.97,Morro do Urucum,
18.7925,-110.9733,1050.04,Cerro Evermann,
27.6583,75.3922,1048.51,Malkhet Hills,
-17.2367,-51.7767,1047.9,,
-17.7844,-48.6867,1043.4,,
50.9794,-65.4892,1042.34,,
51.9992,-9.7425,1039.06,Carrauntoohil,ga:Corrán Tuathail
-1.6164,11.765,1038.58,Peak 1022,
59.1925,-115.5917,1006.14,Caribou Mountains High Point,
3.9761,108.3361,1000.99,Gunung Ranai,
7.0858,0.6625,996.51,,
76.3461,65.0033,990.72,,
55.9817,100.9783,982.64,,
-17.4361,127.2364,982.52,Mount Wells,
-74.8019,-99.2358,981.63,,
3.715,13.745,977.8,,
-79.59,-45.815,975.06,,
18.7675,145.6675,969.87,Agrihan - East False Summit,
52.8933,172.9808,966.82,Attu Mountain,en:Attu Island
-24.3564,150.9395,965.73,Kroombit Tops High Point,
31.975,13.3197,965.18,Dakhret-Musba,
79.5892,99.15,965.0,Karpinsky Icecap,
20.895,3.7633,955.85,,
18.3364,32.7403,955.64,,
66.7317,109.3892,944.88,Kuokda Tretya,
-15.8719,-57.2175,943.65,Serra da Bocaina,
-17.3217,125.5608,938.78,Mount Ord,
-15.8731,-46.2344,937.39,,
53.08,70.1889,933.32,Gora Sinyukha,
53.8758,-66.0525,930.42,Pic Muriel,
20.025,2.4308,926.9,,
-3.3144,11.1528,925.48,,
-11.6533,166.8742,922.93,Mount Banie,
58.4228,104.8355,916.87,,
-4.645,55.4392,915.68,Morne Seychellois,en:Morne Seychellois
7.0994,5.0825,915.05,Idanre Hill,
22.6508,-12.5742,915.01,Kdeyyat ej Joul,
-24.9933,120.49,914.1,Mount Essendon,
-40.3092,-9.9467,910.13,Edinburgh Peak,
69.9661,109.6094,908.51,Pik 908,
63.1267,97.79,904.95,,
-6.4025,-50.3325,903.67,Serra dos Carajás - Pico 898,
63.2939,100.9128,898.56,,
55.3339,-67.7044,895.57,Pic Sunspot,
63.7225,104.5442,887.88,,
-4.4144,12.7642,884.08,,
64.0131,96.9939,883.9,,
62.2967,-7.0133,882.09,Slættaratindur,
-37.8492,77.5483,880.87,Mont de la Dives,
32.6389,21.84,880.13,Jebel Akhdar High Point,
53.9144,-62.0042,880.12,Red Wine Mountains High Point,
57.4211,-113.6067,875.18,Birch Mountains High Point,
-31.58,159.0825,875.08,Mount Gower,
8.6339,20.0811,873.35,,
6.1683,26.5892,872.95,,
50.2256,126.5097,872.07,,
-2.4192,14.3758,871.73,,
69.2425,-121.54,869.9,Melville Hills High Point,
-0.7342,-73.0875,860.15,,
-7.9517,-14.3425,858.93,Green Mountain,en:Green Mountain
3.5775,-53.5192,851.0,Bellevue de L'Inini,
6.2503,-0.5758,846.2,,
11.6933,6.7792,844.91,,
-1.0353,-53.9008,843.75,Peak 843,
53.4169,-102.3058,842.04,Pasquia Hills High Point,
57.6683,-105.275,841.86,,
-25.9017,-56.16,841.86,Cerro Tres Kandú,en:Cerro Peró
61.9858,-119.8325,839.72,,
51.4692,-100.7208,839.48,Baldy Mountain,
61.9381,96.4228,839.31,,
35.1671,-93.6447,839.11,Magazine Mountain,en:Mount Magazine
18.9394,1.0286,838.68,,
24.2342,141.4633,834.85,,
49.77,-102.5967,830.88,,
53.15,-107.4742,830.58,,
69.5325,105.7739,829.3,,
17.96,27.225,824.79,,
-13.7742,143.3217,823.87,Kulla High Point,
-15.9617,-5.7033,822.96,Diana's Peak,
-14.6125,-58.7797,813.05,,
48.8333,-58.4842,811.99,The Cabox,en:The Cabox
60.1017,95.7228,811.72,,
20.5711,-12.8089,802.89,,
49.5942,-57.7842,802.45,Gros Morne,
12.2339,-8.7553,798.25,,
-10.3867,165.8042,796.75,Tinakula,
6.8733,158.2283,790.96,Ngihneni,
41.3195,-76.5546,787.91,North Mountain,
41.9056,-77.7028,787.3,White Knoll South,
16.355,145.6564,786.61,,
-35.5253,173.5108,784.52,Te Raupua,
80.5806,94.8931,783.48,,
-8.7011,-50.8103,782.72,,
-54.405,3.3475,779.98,Olavtoppen,en:Olavtoppen
-9.7367,-46.6128,778.07,,
58.5431,100.13,772.9,,
-22.7767,-56.1994,765.67,Cerro Sarambi,
75.4089,-114.6492,765.66,Melville Island Hill 760,
-72.1742,-99.2983,764.74,,
-8.4633,-55.6025,763.83,Serra do Cachimbo,
28.6675,11.6567,762.91,,
64.23,107.9672,762.62,,
54.7492,-104.3392,762.0,,
10.7617,-5.4183,757.57,Téna Kourou,de:Tena Kourou
66.9219,-116.1361,753.27,Coppermine Bend Peak,
14.98,6.2142,751.94,,
-2.0733,24.7217,747.98,,
3.8025,43.825,746.76,,
52.5972,68.1097,744.47,Sopka Akan,
54.8894,166.3317,740.74,Стеллера,
13.1589,93.0056,737.72,Saddle Peak,en:Saddle Peak (Andaman Islands)
48.8042,-73.59,737.3,Le Domaine-du-Roy High Point,
28.5017,9.705,736.7,,
-8.5825,-48.6567,728.78,Pico 720,
71.1358,-122.9533,723.9,Durham Heights,
-2.14,146.94,718.11,Mount Dremsel,
22.5644,-14.2817,715.66,Western Sahara High Point,
-34.9742,138.7092,713.13,Mount Lofty,
26.685,-4.8594,712.15,,
-50.8958,166.0217,705.0,Mount Dick,
