summitId,latitude,longitude,elevation,candidate
858385,-41.9958,173.6628,2876.73,True
-420943,-14.0225,48.9675,2876.09,True
858640,-14.0222,48.9669,2876.05,True
-421067,63.1392,-44.8367,2875.79,True
-421013,63.1483,-44.8167,2875.79,True
-422352,54.755,-163.9708,2869.39,True
869068,54.7553,-163.9708,2850.86,True
-428523,54.6217,110.4558,2840.13,True
-430778,18.9808,103.1517,2830.07,True
-431179,14.95,-24.3425,2828.85,True
881954,3.6633,-65.4083,2821.4,True
-433064,61.8317,-44.6633,2820.92,True
-435556,-85.0442,-90.8458,2809.95,True
-435457,5.1408,-60.7633,2809.95,True
891388,48.4656,107.4128,2800.79,True
-438460,-22.4283,-44.8425,2798.06,True
-438962,48.4658,107.4125,2796.0,True
894733,54.6225,110.4572,2793.97,True
894966,-22.4281,-44.8428,2793.44,True
897665,-64.6242,-63.4383,2787.41,True
-443111,17.5625,38.0058,2780.08,True
-447140,10.5433,-66.7825,2765.15,True
910050,17.5622,38.0056,2762.02,True
-448293,-64.6217,-63.4575,2760.88,True
-448871,54.4183,-127.7442,2759.05,True
915896,-53.1036,73.5175,2750.4,True
916153,10.5428,-66.7825,2749.86,True
-454180,-53.105,73.5133,2745.03,True
-454565,41.9933,128.0775,2744.11,True
-454766,69.2775,-144.91,2743.81,True
922235,41.9933,128.0778,2737.78,True
924655,-85.0464,-90.9639,2733.42,True
931262,69.2025,-143.8011,2720.8,True
-465302,-5.905,154.995,2714.85,True
934693,-5.905,154.9953,2713.9,True
-471710,-3.3008,126.22,2699.92,True
944848,5.4439,-61.0228,2695.54,True
-474267,10.1708,77.0633,2695.04,True
946273,-3.3003,126.2197,2692.67,True
-476912,-74.84,-11.2017,2691.99,True
953170,10.1697,77.0614,2680.17,True
-489939,-80.61,-96.7675,2674.92,True
965265,20.7794,40.798,2659.24,True
-494777,-22.195,46.885,2657.86,True
-495853,49.1642,20.1342,2653.89,True
-496130,-7.0925,37.6183,2652.98,True
971510,-22.1947,46.8853,2648.58,True
-497509,43.1975,-4.8525,2648.1,True
-497988,20.7792,40.7983,2646.88,True
973152,-7.0908,37.6208,2645.7,True
-499063,-19.3492,47.2433,2642.92,True
-499751,-86.3275,-106.4158,2640.79,True
