Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-26.4325,-67.4967,9832,-26.6858,-67.2508,3025
-26.5325,-67.8933,15574,-26.5108,-67.9058,341
-26.6575,-67.8542,12477,-26.6392,-67.79,413
-26.735,-67.1608,11824,-26.9225,-67.1217,715
-26.7733,-67.0467,11883,-26.7358,-67.0167,305
-26.875,-67.1267,11958,-26.8017,-67.1242,542
-26.0167,-68.0383,11361,-25.9625,-68.0492,328
-26.0192,-68.3542,13061,-25.9575,-68.3383,390
-26.1542,-68.5617,14055,-26.1717,-68.5508,324
-26.2142,-68.9758,11473,-26.2283,-68.9917,525
-26.265,-68.4667,14475,-26.2617,-68.4883,715
-26.3233,-68.6208,13786,-26.3892,-68.615,508
-26.3625,-68.7475,13503,-26.4358,-68.8133,765
-26.3817,-68.5867,13874,-26.3292,-68.565,318
-26.4658,-68.1825,12929,-26.4617,-68.1642,640
-26.5383,-68.06,12893,-26.535,-68.0633,509
-26.5525,-68.2367,12936,-26.4983,-68.1717,731
-26.5767,-68.5625,15190,-26.5767,-68.5258,344
-26.59,-68.1683,13179,-26.5733,-68.1817,390
-26.605,-68.4242,15180,-26.6125,-68.4267,361
-26.6433,-68.1758,13034,-26.5992,-68.2583,988
-26.6458,-68.5342,14291,-26.5967,-68.4317,1273
-26.6925,-68.6225,13848,-26.7325,-68.72,1342
-26.775,-68.41,16223,-26.7642,-68.4083,387
-26.7875,-68.1583,15360,-26.7667,-68.1825,397
-26.825,-68.1608,15997,-26.8342,-68.1558,469
-26.88,-68.4392,14202,-26.9042,-68.6417,709
-26.4883,-69.4258,10236,-26.4842,-69.4308,393
-26.9775,-69.1275,12276,-26.7775,-69.0767,437
-26.2367,15.4717,1069,-26.4383,15.5317,459
-26.2733,15.2567,885,-26.2933,15.2542,387
-26.3083,15.4075,1033,-26.2992,15.4,348
-26.3442,15.3883,895,-26.3692,15.3667,394
-26.4108,15.2975,666,-26.4367,15.2425,426
-26.7175,118.439,1167,-26.7225,118.438,378
-26.7242,118.423,1194,-26.7283,118.426,344
-26.3608,120.588,1515,-26.3708,120.597,305
-26.3742,120.603,1499,-26.3717,120.612,318
-26.3817,120.589,1492,-26.3792,120.589,338
-27.3292,-66.6067,7614,-27.3233,-66.6017,650
-27.0617,-68.4533,17221,-27.0542,-68.4492,351
-27.0858,-68.4825,17568,-27.0817,-68.475,496
-27.1258,-68.4542,17526,-27.1142,-68.44,308
-27.6258,-68.5475,13389,-27.4333,-68.9292,1706
-27.6708,-68.395,13809,-27.6658,-68.3133,941
-27.8983,-68.8333,16745,-27.9308,-68.8225,981
-27.4483,-69.2267,13543,-27.4617,-69.055,495
-27.5133,-70.2892,1112,-27.5017,-70.2842,1004
-27.5242,-70.2917,1440,-27.52,-70.2908,479
-27.7575,23.0017,3526,-27.7183,22.9783,404
-27.32,117.655,958,-27.3308,117.647,498
-27.8458,117.265,1099,-27.8467,117.258,308
-27.4192,120.939,1354,-27.41,120.935,348
-27.79,120.696,1338,-27.7842,120.692,338
-27.8175,120.706,1246,-27.8225,120.707,437
-27.985,120.498,1286,-27.9808,120.497,377
-27.3875,121.002,1072,-27.365,121.003,568
-27.8875,121.269,1204,-27.8833,121.266,308
-28.39,-68.8792,13956,-28.2742,-68.77,335
-28.7158,-68.9967,11916,-28.7317,-69.0325,364
-28.5408,-69.3158,13871,-28.5667,-69.3367,469
-28.8117,-70.99,2795,-28.8217,-70.9817,695
-28.3858,23.4442,4511,-28.3817,23.4475,557
-28.7392,24.775,3569,-28.7358,24.7792,443
-28.7608,24.7967,3520,-28.7642,24.8,410
-28.7683,24.8292,3562,-28.7633,24.835,378
-28.0467,117.823,1099,-28.045,117.828,354
-28.6658,121.166,797,-28.6692,121.157,535
-28.9192,121.334,419,-28.9233,121.332,798
-28.9967,137.019,-72,-29.9325,137.351,360
-2.8017,35.9792,3047,-2.7975,35.9792,325
-2.925,35.8308,7280,-2.9133,35.8633,859
-2.9783,35.4942,4215,-2.8633,35.5692,502
-2.985,35.7425,7568,-2.9783,35.7008,670
-2.2442,36.21,1978,-2.3717,36.1608,328
-2.3125,36.02,1929,-4.5592,36.6083,1945
-2.4917,101.868,8182,-2.4883,101.868,466
-2.215,120.701,4783,-2.2025,120.698,404
-2.2458,120.845,4028,-2.2492,120.836,348
-2.2833,120.882,4294,-2.2933,120.885,341
-2.325,120.871,3864,-2.3258,120.863,335
-2.0183,121.162,2139,-2.0058,121.171,400
-2.8858,121.701,2417,-2.8933,121.698,371
-2.9992,122.037,2004,-3.0042,122.042,322
-2.995,132.548,3497,-2.9975,132.542,354
-2.7317,133.92,626,-2.7275,133.923,338
-2.8125,133.887,1154,-2.8208,133.886,361
-2.8208,133.903,1053,-2.8258,133.904,459
-2.825,133.943,1227,-2.83,133.947,469
-2.8767,133.868,439,-2.8767,133.86,555
-2.65,134.014,531,-2.645,134.016,312
-2.6733,134.016,613,-2.6683,134.021,374
-2.8433,134.087,721,-2.8442,134.079,397
-2.9325,134.185,1781,-2.93,134.184,338
-2.4508,140.126,305,-2.4667,140.126,318
-2.5608,140.327,958,-2.57,140.347,396
-2.5625,140.357,1171,-2.565,140.355,341
