latitude,longitude,elevation,prominence,name_local,name_en,wikipedia
-54.4497,-36.5236,2925.46,2925.46,Mount Paget,,en:Mount Paget
73.0908,-28.6183,2922.73,1167.56,Petermann Bjerg,Petermann Peak,en:Petermann Peak
16.5978,120.8989,2922.57,2922.57,Mount Pulag,,en:Mount Pulag
42.1792,23.5853,2921.37,2470.54,Мусала,Musala,bg:Мусала
0.0786,99.9839,2899.83,2325.16,Gunung Ophir,Mount Talakmau,
-72.5492,0.6542,2899.31,475.75,,,
23.2886,5.5339,2882.21,2305.82,تاهات,Tahat,ar:تاهات
42.4697,13.5644,2878.17,2436.47,Corno Grande - Vetta Occidentale,,it:Corno Grande
63.1606,-44.7867,2877.23,394.65,,,
-20.4342,-41.7964,2877.21,2627.55,Pico da Bandeira,,en:Pico da Bandeira
-41.9958,173.6628,2876.73,2009.84,Tapuae-o-Uenuku,,en:Tapuae-o-Uenuku
-14.0222,48.9669,2876.05,2876.05,Maromokotro,,
54.7553,-163.9708,2850.86,2850.86,Shishaldin Volcano,,en:Mount Shishaldin
18.9808,103.1517,2824.95,2082.88,ພູເບຍ,Phou Bia,en:Phou Bia
3.6633,-65.4083,2821.4,2711.4,Cerro Marahuaca,,en:Cerro Marahuaca
48.4656,107.4128,2800.79,1437.08,Асралт хайрхан,,en:Asralt Khairkhan
54.6225,110.4572,2793.97,1674.68,пик Байкал,,
-22.4281,-44.8428,2793.44,2066.41,Pedra da Mina,,en:Pedra da Mina
-64.6242,-63.4383,2787.41,2787.41,,,
14.95,-24.3425,2781.54,2781.54,Pico de Fogo,,
17.5622,38.0056,2762.02,1423.44,,,
-53.1036,73.5175,2750.4,2750.4,Mawson Peak (Big Ben),,en:Mawson Peak
10.5428,-66.7825,2749.86,2444.19,Pico Naiguatá,Peak Naiguata,es:Pico Naiguatá
41.9933,128.0778,2737.78,2585.39,장군봉,Changgun Peak,
-85.0464,-90.9639,2733.42,457.61,,,
69.2025,-143.8011,2720.8,2403.9,Mount Isto,,en:Mount Isto
-5.905,154.9953,2713.9,2713.9,,,
5.4439,-61.0228,2695.54,2228.27,,,
-3.3003,126.2197,2692.67,2692.67,Kapalatmada,Mount Kapalatmada,
10.1697,77.0614,2680.17,2463.03,Anamudi,,de:Anamudi
20.7794,40.798,2659.24,1004.38,,,
-22.1947,46.8853,2648.58,1868.78,Imarivolanitra,,
-7.0908,37.6208,2645.7,2117.33,Lukwangule peak,,
-19.3494,47.2433,2639.33,1660.49,Ambatondrangahy,,
-80.5494,-96.6653,2632.61,385.78,,,
28.5094,33.9556,2628.35,2423.31,جبل كاترينا,Mount Catherine,en:Mount Catherine
-54.6631,-69.5925,2623.49,2623.49,,,
18.8097,97.0375,2621.08,1726.26,,Mount Nattaung,en:Nattaung
-12.4628,15.1736,2618.28,1510.95,,,
49.1639,20.1339,2603.93,2302.61,Gerlachovský štít,,sk:Gerlachovský štít
15.0692,107.9753,2593.8,2206.09,Ngoc Linh,,
43.1739,-4.8572,2586.76,1871.05,,,
81.915,-75.0097,2584.03,2584.03,,,
41.1,33.8633,2582.77,1542.31,Ilgaz Dağı,,
-18.3006,32.8419,2581.99,1509.96,Mount Nyangani,,
27.8817,108.6814,2566.56,1761.93,凤凰山,Fenghuang Shan,
-21.1497,14.5775,2564.32,1761.73,Königstein,,en:Königstein (Namibia)
40.2483,-5.2997,2536.89,1633.34,Pico Almanzor,,es:Pico Almanzor
45.5853,24.5581,2526.52,2027.69,Negoiu,,"ro:Vârful Negoiu, Munții Făgăraș"
7.0008,80.7736,2523.12,2523.12,Pidurutalagala,,
-81.9417,-89.8042,2483.52,592.07,,,
-7.5039,29.9867,2481.97,1469.97,,,
-22.6497,17.1831,2477.84,1337.88,Moltkeblick,,
67.4128,-154.965,2473.85,1827.85,Mount Igikpak,,
76.4694,-25.6433,2460.85,566.63,Gefiontinde,,en:Gefiontinde
61.6361,8.3128,2459.01,2359.44,Galdhøpiggen,,en:Galdhøpiggen
35.2264,24.7708,2452.65,2452.65,Ψηλορείτης,Psiloritis,el:Ψηλορείτης
-31.7586,24.5397,2452.0,961.73,Compassberg,,
10.7364,47.2442,2445.49,1470.67,Shimbiris,,
61.8886,171.17,2429.29,2311.61,Ледяная,Ledyanaya,ru:Ледяная (гора)
23.9767,39.2825,2378.66,1457.04,,,
67.5822,128.1439,2370.86,1661.67,,,
55.8975,130.4539,2370.77,1678.74,,,
53.6075,134.5764,2356.52,1898.97,,,
-11.7589,43.3669,2356.42,2356.42,Mont Karthala جبل القرطالة,Mount Karthala,ar:القرطالة
-5.0508,151.3311,2351.54,2351.54,Ulawun,,en:Ulawun
-23.3514,16.2153,2348.05,576.45,Gamsberg,,
40.9761,110.6189,2345.63,924.61,红芪峰,,
38.4689,-28.3992,2334.84,2334.84,Montanha do Pico,Mount Pico,pt:Montanha do Pico
-74.1519,-66.4733,2328.22,689.87,,,
-25.2094,30.1497,2328.02,679.79,Die Berg,,
-9.7036,160.0622,2326.27,2326.27,Mount Popomanaseu,,
35.3183,6.6369,2322.6,1602.37,Djebel Chélia,Mount Chelia,fr:Djebel Chélia
-33.3981,21.3681,2313.19,1533.2,Seweweekspoortpiek,,en:Seweweekspoortpiek
-0.6597,112.6886,2310.88,2031.54,,,
71.4011,-51.8358,2299.6,2127.37,,,
36.4478,4.2281,2299.22,1707.12,Lalla Khedidja,Lalla Khedidja,fr:Lalla Khedidja
43.6636,142.8542,2287.95,2287.95,旭岳,Mount Asahi-dake,ja:旭岳
71.0819,-8.1767,2262.19,2262.19,,,
50.5742,134.5939,2254.72,1414.99,Баджальский хребет,Mount Oolong (?),
1.8197,115.2725,2245.61,1579.72,,,
32.9117,-0.4675,2236.39,975.14,Djebel Aïssa,Mount Issa,ar:جبل عيسى
-36.4561,148.2636,2226.46,2226.46,Mount Kosciuszko,,en:Mount Kosciuszko
66.7706,-65.1583,2216.91,2216.91,,,
-70.1944,64.8,2208.16,439.35,,,
-27.18,18.7286,2196.24,1218.91,Schroffenstein,,de:Schroffenstein
4.6328,102.2344,2182.17,2127.22,Gunung Tahan,Mount Tahan,ms:Gunung Tahan
20.7456,36.8392,2180.78,1758.94,,,
64.2175,133.5594,2179.41,1323.12,,,
-71.0136,65.1467,2176.7,445.1,,,
66.0394,-52.2544,2175.01,1476.0,Naparutaq,Mount Atter,
-67.3731,164.7556,2171.67,2171.67,,,
27.8603,117.7833,2156.67,1952.91,黄岗山,,zh:黄岗山
14.6731,48.7808,2144.98,883.54,,,
-19.6153,17.6203,2142.59,654.23,,,
-84.8553,-65.0333,2126.92,578.15,,,
25.8667,110.4128,2121.63,1631.26,猫儿山,Kitten Mountain,zh:猫儿山_(桂林市)
16.1714,99.0367,2117.6,1323.48,,,
26.3133,114.04,2116.41,1895.18,南风面,,
11.3264,49.7486,2107.06,1584.83,,,
64.0139,-16.6783,2091.51,2091.51,Hvannadalshnúkur,,is:Hvannadalshnúkur
67.9008,18.5172,2088.27,1723.23,,,
-24.4706,27.5892,2084.12,1012.95,,,
79.9256,-92.3075,2082.1,2082.1,,,
53.1264,-168.6953,2080.47,2080.47,Mount Vsevidof,,en:Mount Vsevidof
23.5392,-109.9544,2078.07,1901.16,Sierra de la Laguna,,
-17.1997,13.0208,2068.13,816.73,,,
-25.2706,15.7547,2059.21,1003.55,,,
42.6156,117.7958,2050.75,703.62,大光顶子山,,
13.4667,98.805,2050.69,1833.9,,Myinmoletkat Taung,en:Myinmoletkat Taung
-37.1117,-12.2889,2040.09,2040.09,Queen Mary's Peak,,en:Queen Mary's Peak
-66.7003,54.84,2039.64,566.11,,,
35.7649,-82.2651,2037.28,1860.5,Mount Mitchell,,en:Mount Mitchell
-83.3819,-51.3833,2035.98,773.65,,,
-13.2967,-41.9075,2030.42,1394.35,,,
15.3086,26.5497,2008.58,1105.93,,,
47.1164,136.5683,2001.66,1193.87,Ко,Ko,ru:Ко (гора)
17.8392,8.7206,2001.37,1305.88,Idoûkâl-n-Taghès,,
9.9658,45.0283,2001.23,834.41,,,
61.4864,155.3145,1997.79,1192.0,,,
19.0136,8.6014,1983.72,1061.8,,,
0.2692,6.5417,1976.36,1976.36,Pico de São Tomé,,en:Pico_de_São_Tomé
35.8744,1.6322,1974.9,1090.82,Kef Sidi Amar,,
-24.6153,46.7042,1971.2,1255.81,,,
33.8544,134.0947,1951.6,1951.6,,,
27.47,-112.5919,1946.8,1624.28,Tres Virgenes Volcanic Complex,,en:Tres Vírgenes
83.3183,-33.2,1945.82,1804.81,,,
73.23,-78.6233,1938.94,1938.94,,,
9.2275,-11.115,1931.59,1652.32,Loma Mansa,,en:Mount_Bintumani
30.3361,130.5042,1926.95,1926.95,宮之浦岳,Mt. Miyanoura,
33.3617,126.5358,1924.52,1924.52,,,
44.2705,-71.3034,1916.58,1876.96,Mount Washington,,en:Mount Washington
53.7269,117.5575,1909.29,848.34,,,
-8.8611,27.0653,1908.48,769.89,,,
-80.6578,-24.6667,1894.42,471.33,,,
21.9158,24.9997,1891.49,1262.51,,,
-13.3439,29.6103,1891.0,620.08,Mount Mumpu,,en:Mount Mumpu
65.035,60.1139,1889.28,1764.45,Народная,Mount Narodnaya,ru:Народная (гора)
-15.3631,166.7545,1879.71,1879.71,Mount Tabwemasana,,
-11.5231,31.5922,1878.98,443.16,,,
67.8169,178.2939,1878.68,1482.42,Исходная,,
-2.7106,115.6258,1865.1,1765.35,Gunung Halau-halau,Mount Halau-halau,id:Gunung Halau-halau
-13.6186,-172.4869,1862.82,1862.82,Mauga Silisili,,en:Silisili
70.7994,-71.6508,1858.08,1577.28,,,
-27.8858,23.5631,1854.78,543.55,,,
43.695,134.1994,1853.72,1432.08,Гора Облачная,,ru:Облачная (гора)
-25.2411,-48.8297,1852.88,1108.49,,,
32.7589,-16.9428,1851.15,1851.15,Pico Ruivo,,pt:Pico Ruivo
17.1625,54.8542,1848.96,1041.6,,,
-17.6097,-149.4953,1836.48,1836.48,,,
30.1347,118.1642,1832.84,1704.03,,,
-27.9097,-49.3219,1822.59,1016.9,Morro da Bela Vista do Guizoni,,
18.8994,109.7044,1817.12,1817.12,五指山二峰,Wuzhi Shan II,
66.0247,163.2383,1812.03,1304.92,,,
12.0328,104.1711,1808.19,1741.73,Phnom Aural,,
51.8831,-178.1442,1797.2,1797.2,Tanaga,,
-9.2442,27.8183,1789.6,613.65,,,
63.645,-50.3989,1786.54,772.86,,,
8.4942,99.7294,1784.74,1720.2,,,
65.3378,165.5622,1781.07,830.89,,,
67.5389,168.1383,1779.59,1252.95,г. Двух Цирков,,
45.4725,114.5892,1777.23,688.74,,,
9.9342,9.0344,1766.46,1314.69,,,
44.3531,146.2533,1760.21,1760.21,Тятя,,
7.6219,-8.4083,1755.34,1297.16,Nimba,,
-17.195,30.6883,1747.78,316.54,,,
47.0578,120.5219,1747.47,804.26,,,
-11.1133,26.3914,1738.13,462.3,,,
30.3942,35.4925,1733.16,813.27,,,
-37.9169,178.06,1730.87,1161.83,Hikurangi,,en:Mount Hikurangi (Gisborne District)
47.5422,120.48,1729.63,517.28,,,
80.4328,-19.6903,1724.39,1668.37,,,
59.3242,114.4233,1715.85,797.22,,,
24.65,72.7769,1715.02,1388.48,,,
79.0106,17.4917,1704.82,1704.82,Newtontoppen,,en:Newtontoppen
0.0425,-91.335,1704.57,1704.57,Volcán Wolf,,de:Wolf (Vulkan)
67.9933,-136.585,1703.66,1268.14,,,
-73.6525,-94.095,1681.61,515.48,,,
69.1264,95.3117,1679.08,1389.23,,,
18.2281,82.7228,1679.06,1304.15,Arma Konda,,
-13.9522,-47.5208,1672.15,906.57,,,
-49.5942,69.4939,1664.53,1664.53,Mont Ross,,fr:Mont Ross
-68.8275,-90.6317,1639.08,1639.08,,,
54.255,58.1042,1638.01,1332.53,Ямантау,Mount Yamantau,ru:Ямантау
-20.5886,164.7708,1627.66,1627.66,Mont Panié,,fr:Mont Panié
-20.6217,29.9033,1627.06,546.14,,,
-17.3994,145.8181,1613.85,1322.1,Mount Bartle Frere Summit (South Peak),,
-41.8711,146.0333,1609.81,1609.81,Mount Ossa,,
45.9044,-68.9214,1605.69,1310.34,Baxter Peak,,
50.8517,143.1422,1605.34,1605.34,Лопатина,,
11.9033,18.1908,1603.62,1145.03,Mont Guerra,,
50.7361,15.7397,1603.35,1197.68,Śnieżka / Sněžka,,pl:Śnieżka
-32.0031,151.4469,1599.25,1115.05,Brumlow Top,,en:Brumlow Top
19.6014,73.7089,1599.15,1032.32,Kalsubai,Kalasubai peak,en:Kalsubai
22.0586,-159.4975,1598.68,1598.68,Kawaikini,,
58.9444,-63.79,1593.36,1355.36,,,
-30.4378,152.2403,1583.65,740.19,Round Mountain,,en:Round Mountain (Northern Tablelands)
-41.5331,147.6589,1571.12,1299.03,Legges Tor,,
59.6319,59.1347,1563.81,1170.72,Конжаковский Камень,,
48.4236,75.4714,1561.64,855.02,,,
-16.2828,28.1236,1550.73,483.83,,,
-14.7339,26.8431,1548.33,399.91,,,
44.6128,34.2428,1544.48,1535.46,Роман-Кош,Roman Kosh,ru:Роман-Кош
27.5097,41.5486,1539.36,472.37,,,
75.1758,57.825,1539.08,1539.08,Novaya Zemlya High Point,,
12.1119,-12.2636,1534.25,1045.11,Mont Loura,Mount Loura,
36.2561,117.1056,1531.93,1489.38,玉皇顶,,
51.2972,123.1283,1525.42,665.99,,,
-23.4011,132.3956,1518.3,1312.16,Mount Zeil,,en:Mount Zeil
46.8144,151.7875,1517.79,1517.79,Мильна,Milne,
12.575,54.0222,1513.74,1513.74,,Jebel Skand,
23.2789,44.593,1509.16,612.47,,,
-20.2667,-46.4344,1507.81,732.84,,,
38.7004,-79.5325,1482.55,855.88,Spruce Knob,,en:Spruce Knob
76.4386,-62.2592,1477.62,584.59,,,
50.8844,118.1775,1477.46,601.98,,,
10.8881,13.7806,1472.06,1096.62,Mont Oupay,,
62.9144,176.515,1462.95,1237.44,,,
16.0447,-61.6639,1460.4,1460.4,La Découverte,,
11.9828,31.0703,1458.22,873.11,,,
43.0836,110.0144,1436.42,332.37,,,
-26.3183,131.7442,1435.79,950.1,Mount Woodroffe,,en:Mount Woodroffe
16.705,52.53,1420.13,495.0,,,
64.9922,-165.3294,1406.44,1302.67,Mount Osborn,,en:Mount Osborn
24.7272,42.6739,1402.47,403.06,,,
-33.3442,148.9822,1394.29,673.47,Gaanha-bula–Mount Canobolas,,
-66.7289,112.8333,1389.26,567.09,,,
-18.7722,21.7533,1387.3,357.99,Male Hill,,
23.9639,86.1286,1380.91,1035.44,Parasnath Hills,Parasnath,en:Parasnath
29.3667,37.2397,1380.66,405.9,,,
76.92,16.14,1376.22,1231.93,Hornsundtind,,
9.1369,23.1461,1370.46,699.01,,,
-33.7625,-80.8128,1369.3,1369.3,,,
17.1458,22.4967,1359.9,494.4,,,
-22.6322,44.1675,1348.84,781.73,,,
56.7967,-5.0036,1342.64,1342.64,Ben Nevis,,en:Ben Nevis
18.1722,-66.5919,1328.76,1328.76,Cerro de Punta,,en:Cerro de Punta
22.4153,78.4092,1325.63,948.38,,,
14.3433,21.6581,1325.52,455.21,,,
-17.6147,178.0183,1323.27,1323.27,Tomanivi,,
-18.1206,-60.0167,1305.29,963.53,,,
-23.9861,-51.1114,1303.29,490.5,,,
29.0956,-118.3111,1289.96,1289.96,,,
-60.5811,-45.4783,1280.97,1280.97,,,
48.9875,-65.9486,1274.93,1094.14,Mont Jacques-Cartier,,en:Mount Jacques-Cartier
41.9991,-74.38600000000002,1274.06,1000.66,,,
-21.0153,148.6014,1266.76,1006.04,Mount William,,
81.4936,-52.6292,1266.04,558.35,,,
-24.9528,148.125,1259.17,913.01,,,
3.6825,-56.5356,1254.34,1169.4,Julianatop,,en:Julianatop
-9.8086,-139.0719,1253.91,1253.91,Temetiu,,fr:Mont Temetiu
-22.9806,118.5878,1247.15,837.16,Mount Meharry,,en:Mount Meharry
-46.9039,37.7097,1240.21,1240.21,,,
-38.1583,-61.9517,1237.86,1075.92,Cerro Tres Picos,,es:Cerro Tres Picos
23.4889,83.6117,1233.78,742.47,,,
20.5261,31.5283,1217.32,863.7,,,
-16.5536,-40.3817,1211.66,760.95,,,
-23.1014,134.9036,1205.36,490.55,Mount Brassey,,
-8.16,-36.3922,1200.39,735.9,,,
67.725,33.475,1200.36,1050.62,Юдычвумчорр,,ru:Юдычвумчорр
