latitude,longitude,elevation,name_local,name_en,wikipedia
51.2972,123.1283,1525.42,,,
-23.4011,132.3956,1518.3,Mount Zeil,,en:Mount Zeil
46.8144,151.7875,1517.79,Мильна,Milne,
12.575,54.0222,1513.74,,Jebel Skand,
23.2789,44.593,1509.16,,,
-20.2667,-46.4344,1507.81,,,
38.7004,-79.5325,1482.55,Spruce Knob,,en:Spruce Knob
76.4386,-62.2592,1477.62,,,
50.8844,118.1775,1477.46,,,
10.8881,13.7806,1472.06,Mont Oupay,,
62.9144,176.515,1462.95,,,
16.0447,-61.6639,1460.4,La Découverte,,
11.9828,31.0703,1458.22,,,
43.0836,110.0144,1436.42,,,
-26.3183,131.7442,1435.79,Mount Woodroffe,,en:Mount Woodroffe
16.705,52.53,1420.13,,,
64.9922,-165.3294,1406.44,Mount Osborn,,en:Mount Osborn
24.7272,42.6739,1402.47,,,
-33.3442,148.9822,1394.29,Gaanha-bula–Mount Canobolas,,
-66.7289,112.8333,1389.26,,,
-18.7722,21.7533,1387.3,Male Hill,,
23.9639,86.1286,1380.91,Parasnath Hills,Parasnath,en:Parasnath
29.3667,37.2397,1380.66,,,
76.92,16.14,1376.22,Hornsundtind,,
9.1369,23.1461,1370.46,,,
-33.7625,-80.8128,1369.3,,,
17.1458,22.4967,1359.9,,,
-22.6322,44.1675,1348.84,,,
56.7967,-5.0036,1342.64,Ben Nevis,,en:Ben Nevis
18.1722,-66.5919,1328.76,Cerro de Punta,,en:Cerro de Punta
22.4153,78.4092,1325.63,,,
14.3433,21.6581,1325.52,,,
-17.6147,178.0183,1323.27,Tomanivi,,
-18.1206,-60.0167,1305.29,,,
-23.9861,-51.1114,1303.29,,,
29.0956,-118.3111,1289.96,,,
-60.5811,-45.4783,1280.97,,,
48.9875,-65.9486,1274.93,Mont Jacques-Cartier,,en:Mount Jacques-Cartier
41.9991,-74.38600000000001,1274.06,,,
-21.0153,148.6014,1266.76,Mount William,,
81.4936,-52.6292,1266.04,,,
-24.9528,148.125,1259.17,,,
3.6825,-56.5356,1254.34,Julianatop,,en:Julianatop
-9.8086,-139.0719,1253.91,Temetiu,,fr:Mont Temetiu
-22.9806,118.5878,1247.15,Mount Meharry,,en:Mount Meharry
-46.9039,37.7097,1240.21,,,
-38.1583,-61.9517,1237.86,Cerro Tres Picos,,es:Cerro Tres Picos
23.4889,83.6117,1233.78,,,
20.5261,31.5283,1217.32,,,
-16.5536,-40.3817,1211.66,,,
-23.1014,134.9036,1205.36,Mount Brassey,,
-8.16,-36.3922,1200.39,,,
67.725,33.475,1200.36,Юдычвумчорр,,ru:Юдычвумчорр
53.6461,-58.5542,1194.12,,,
64.8558,-173.4339,1188.16,,,
21.6483,86.3589,1186.32,,,
22.9936,81.6544,1182.89,,,
23.865,46.4414,1174.04,,,
47.3094,-70.8322,1169.28,Mont Raoul-Blanchard,,
-37.2931,142.6014,1163.92,Mount William,,
1.5283,-59.2394,1160.33,,,
-31.5039,138.5519,1158.64,Saint Mary Peak,,en:Wilpena Pound
-59.0403,-26.5325,1153.01,Mount Darnley,,en:Mount Darnley
75.8975,107.7075,1151.13,,,
15.2606,-1.6644,1149.7,,,
52.3219,-70.4458,1147.61,Mont Yapeitso,,fr:Mont Yapeitso
-77.6244,-153.6858,1145.57,,,
51.7997,10.615,1141.76,Brocken,,de:Brocken
-4.7664,-40.1314,1141.48,,,
47.1608,72.675,1132.33,,,
15.06,30.4153,1130.28,,,
21.9897,-80.1475,1130.27,Pico San Juan,,
28.2003,13.9703,1128.45,,,
59.8247,92.8539,1126.5,,,
48.6444,66.9453,1124.18,АулиеТау,,
31.225,38.5322,1117.94,,,
-10.8319,-63.5775,1115.24,Pico do Tracuá,,
-0.1964,104.5503,1113.24,,,
-4.2083,-38.9747,1111.4,Pico Alto,,en:Pico Alto
36.1753,120.6261,1109.73,崂山主峰,Mount Lao,
51.5311,-68.0769,1103.33,Mont Veyrier,,
71.0975,-179.3542,1090.63,,,
27.3233,17.2136,1085.98,,,
-19.5767,169.3883,1082.66,Mount Tukosmera,,
-19.6033,144.0553,1077.13,,,
53.0686,-4.0761,1074.5,Yr Wyddfa,Snowdon,cy:Yr Wyddfa
0.9553,13.6858,1071.8,Mont Bengoué,,
-46.4178,52.2472,1065.5,Mont Marion-Dufresne,,en:Mont Marion-Dufresne
-34.3761,118.2553,1061.43,Bluff Knoll,,
21.5278,70.5292,1061.11,Girnar Hills,,
-19.2014,-57.5925,1059.09,Maciço do Urucum,,
27.6583,75.3922,1048.51,,,
-17.7844,-48.6867,1043.4,,,
-17.2372,-51.7761,1042.56,,,
50.9794,-65.4892,1042.34,,,
18.7906,-110.9758,1042.01,Volcán Evermann,Mount Evermann,
-1.6164,11.765,1038.58,,,
51.9992,-9.7428,1032.9,Carrauntoohil,Carrauntoohil,ga:Corrán Tuathail
-19.6681,-175.0161,1030.62,Kao,,
3.9761,108.3361,1000.99,,,
59.1906,-115.5994,1000.92,,,
7.0858,0.6625,996.51,,,
76.3461,65.0033,990.72,,,
55.9817,100.9783,982.64,,,
-17.4361,127.2364,982.52,Mount Wells,,
-74.8019,-99.2358,981.63,,,
-14.2328,-169.4544,969.9,Lata Mountain,,en:Lata Mountain
52.8933,172.9808,966.82,Attu Mountain,,en:Attu Island
-24.3564,150.9395,965.73,,,
31.975,13.3197,965.18,,,
18.7683,145.675,959.11,,,
79.5903,99.1492,956.23,,,
18.3364,32.7403,955.64,,,
-15.8719,-57.2175,943.65,,,
66.7311,109.39,942.46,,,
-17.3211,125.5608,938.37,Mount Ord,,
-15.8731,-46.2344,937.39,,,
53.08,70.1889,933.32,гора Кокшетау (Синюха),,
53.8758,-66.0525,930.42,,,
-3.3144,11.1528,925.48,,,
58.4228,104.8355,916.87,,,
-4.645,55.4392,915.68,Morne Seychellois,,en:Morne Seychellois
7.0994,5.0825,915.05,Idanre Hill,,
22.6511,-12.5744,912.48,فدية الجيل,Kediet ej Jill,
69.9661,109.6094,908.51,,,
-24.9944,120.4911,908.25,Mount Essendon,,
-40.3022,-9.9633,904.81,,,
-6.4025,-50.3325,903.67,,,
63.1275,97.7889,900.83,,,
63.2939,100.9128,898.56,,,
51.2164,73.2875,896.12,г. Акдым,,
55.3339,-67.7044,895.57,,,
-79.5661,-45.6133,893.15,,,
-23.3319,129.3647,885.34,Mount Leisler,,en:Mount Leisler
-4.4144,12.7642,884.08,,,
64.0131,96.9939,883.9,,,
63.7225,104.5411,880.89,,,
32.6389,21.84,880.13,,,
53.9144,-62.0042,880.12,,,
57.4211,-113.6067,875.18,,,
62.2967,-7.0128,875.02,Slættaratindur,,
8.6339,20.0811,873.35,,,
50.2256,126.5097,872.07,,,
-37.8489,77.5483,869.9,Mont de la Dives,,
69.2422,-121.5383,868.72,,,
-7.1219,128.6733,868.42,Gunung Wurlali,Mount Wurlali,
-7.9517,-14.3431,848.48,The Peak,Green Mountain,en:Green Mountain
6.2503,-0.5758,846.2,,,
-1.0353,-53.9008,843.75,,,
25.8033,16.6683,842.82,,,
53.4169,-102.3058,842.04,,,
51.4692,-100.7208,839.48,Baldy Mountain,,
61.9381,96.4228,839.31,,,
