summitId,latitude,longitude,elevation
9125481,-22.4631,-151.3611,377.46
9173826,-10.4833,105.5806,372.59
9186448,-12.2892,168.8361,371.31
9195518,-10.1472,142.3214,370.4
9270819,-49.6844,178.7811,362.81
9278104,75.1094,-98.29,362.08
9288714,74.8731,138.76,361.0
9384825,13.3494,-81.3681,351.26
9456227,76.7906,158.0992,344.01
9544903,59.8256,-80.0133,334.97
9574659,-65.7561,92.4406,331.92
9583759,-25.0686,-130.1131,331.0
9589396,-35.7803,136.8719,330.42
9706558,-29.0114,167.94,318.51
9776181,80.83,79.5528,311.36
9776297,73.5856,-105.1883,311.35
9776889,8.4272,104.8278,311.28
9864798,56.6033,-169.6767,302.27
9872116,18.3625,-114.6983,301.53
