latitude,longitude,jut_m,jut_height_m,jut_angle_deg,jut_base_latitude,jut_base_longitude,dominance_m,dominance_base_latitude,dominance_base_longitude,elevation_m,prominence_m,key_col_latitude,key_col_longitude
-44.3842,168.7264,1257.059932,1983.6659,39.32403762,-44.36395757,168.7377373,2833.652598,-44.23621714,168.6668602,2894.49,2313.4,-44.1075,169.3544
46.8529,-121.7604,1256.894402,2917.81957,25.51611561,46.80147921,-121.7873969,4204.14923,47.09253336,-122.1881353,4392.47,4112.97,48.9499,-119.4297
50.73,-116.8136,1254.07416,1946.223485,40.11792282,50.71588806,-116.8373203,2755.599978,50.60970719,-117.0324344,3372,1277.63,50.6297,-116.6108
23.2375,57.2642,1251.416691,1841.512016,42.80921794,23.24361004,57.2825922,2700.950326,23.62198044,57.41787848,2988.9,2865.68,21.3289,56.7492
71.4011,-51.8358,1249.135765,2271.152095,33.36707678,71.43112834,-51.85975038,2302.182843,71.43597924,-51.83711284,2299.6,2127.37,71.4075,-51.6611
39.7022,44.2983,1248.349769,2316.917986,32.60182133,39.73021079,44.32017214,4251.115318,39.81591006,44.57915644,5111,3583.75,36.3103,49.5878
41.4114,72.9122,1246.291085,2441.37041,30.69636214,41.37824654,72.93413055,3635.595737,41.01847126,72.53150564,4407.85,1691.51,41.3072,73.5789
39.3431,72.8778,1244.363079,2607.672493,28.5022328,39.38579671,72.86827255,5081.873824,40.44275447,72.25975377,7127.82,2785.57,38.8039,72.1917
-31.9792,-70.1131,1229.118284,2614.910007,28.03704161,-32.00709185,-70.07273344,5734.628721,-32.41348968,-71.02809175,6717.4,3361.19,-32.1583,-70.3164
-82.8442,161.3278,1228.5177,1968.09348,38.62475129,-82.82649427,161.435512,4107.308276,-82.50363976,161.4425189,4328.09,2115.94,-84.1728,158.7936
57.4325,-132.3136,1227.421307,1910.805362,39.96788285,57.43654403,-132.2763956,2996.869992,57.49987525,-132.8191577,3073.81,2411.44,58.1558,-131.4811
0.3856,29.8725,1226.248441,3772.340128,18.96939576,0.399362533,29.77501039,4249.099042,0.55728636,29.67799234,5024.42,3844,-5.7097,33.1017
-73.4211,166.3017,1226.195089,3323.776769,21.64879194,-73.48958487,166.1945169,3455.359287,-73.54159732,166.3322286,3471.06,1980.53,-73.3747,166.1553
28.9478,90.1789,1221.052412,1656.142998,47.50080465,28.9590512,90.16982492,4218.056655,27.67895192,89.90814568,7187.89,2142.98,28.8939,90.1711
14.95,-24.3425,1219.995613,2774.87787,26.08202449,14.95638205,-24.29018482,2783.619911,14.97882646,-24.29089198,2781.54,2781.54,0,0
-33.3586,-69.7706,1211.780053,2698.088988,26.68757859,-33.35240882,-69.82776286,5576.338614,-33.39175503,-70.61333958,6572.56,2770.2,-32.8233,-70.0756
30.9039,93.785,1211.260297,1654.442208,47.06492869,30.8902494,93.78725074,3750.011069,30.40785409,94.24323557,6913.5,2171.46,30.9453,91.6375
-67.4497,-67.06,1208.049728,2077.607849,35.55342802,-67.46988432,-67.10263362,2212.454083,-67.47500472,-67.00858001,2213.44,1955.63,-67.4047,-66.8844
29.1817,98.46,1205.481364,3823.375626,18.37846798,29.23482053,98.56144864,4170.154789,28.72432142,98.33578035,6220.19,1656.49,28.9186,98.5253
-44.6225,168.4103,1205.451198,2280.795801,31.90565962,-44.62967923,168.455307,2745.271016,-44.5566462,168.1335304,2799.5,1335.1,-44.5508,168.563
-15.8544,-68.5419,1202.892302,3193.801326,22.12530393,-15.82313352,-68.60776088,5615.177418,-15.58166637,-68.05772243,6416.1,2438.35,-15.5333,-69.0492
53.9358,-120.3869,1200.313236,1893.466885,39.34019132,53.92988048,-120.3534162,2479.927552,53.80429601,-120.9045326,3230.88,1713.84,53.5756,-119.8911
-29.13,-69.7867,1179.552376,2764.291835,25.25898118,-29.17605123,-69.75715528,4890.145206,-28.72195285,-70.52548434,6153.41,1898.54,-29.1581,-69.8967
68.8397,-29.9211,1179.006118,1779.166036,41.50408639,68.8253852,-29.95037959,3534.385255,68.45132671,-29.94175576,3691.63,3691.63,0,0
-54.6631,-69.5925,1171.641215,2621.289057,26.5495369,-54.67589838,-69.51434066,2627.385174,-54.67185596,-69.50787279,2623.49,2623.49,-54.13,-71.5278
29.8069,99.6067,1166.665449,2019.333398,35.29229103,29.8282476,99.62379629,3484.273638,29.57034128,99.04815586,6153.08,1945.62,32.2536,98.6
44.9225,6.3581,1162.400476,1424.164647,54.70599987,44.91771206,6.368866671,3598.821212,45.20984419,5.854671003,4021.1,1963.2,45.0328,6.4075
-78.5255,-85.6171,1151.617185,2217.747502,31.28352217,-78.52616917,-85.78130332,4578.361905,-78.36312495,-84.09184177,4918.81,4918.81,0,0
14.5017,-90.8756,1151.571291,2243.970375,30.87619564,14.49231237,-90.90897679,3801.848781,14.2071871,-90.88822571,3969.9,1847.92,14.6411,-90.9408
32.6758,103.8467,1148.265887,2678.004521,25.38995019,32.67087649,103.9071432,4372.186248,32.46309616,104.5232079,5521.61,1994.67,33.0456,103.7206
46.5083,10.5444,1142.292662,2251.045523,30.49411282,46.52982867,10.50533906,3444.956098,46.21263354,11.14781415,3874.05,1919.44,46.5533,10.2519
53.3206,158.7117,1137.552905,2231.69602,30.64556314,53.2868664,158.7066099,3391.550272,53.22380467,158.4082794,3445.99,2987.27,53.6956,158.66
36.2169,82.0358,1134.973853,2532.410432,26.62692754,36.22974562,81.98204043,4892.574883,36.81185392,81.81468429,6696.82,1667.37,36.2128,82.9914
-8.4117,116.4581,1134.203922,1512.345525,48.587215,-8.413918888,116.4463555,3671.826666,-8.255186577,116.5056443,3704.66,3704.66,-8.4811,119.3853
58.4778,-133.3617,1123.900133,2083.990371,32.63613421,58.50643753,-133.3732386,2321.186125,58.58027905,-133.6165922,2355.84,1631.71,58.3889,-133.0736
51.3511,-116.2058,1123.670894,1318.69877,58.4414538,51.3589785,-116.2066017,2595.812253,51.02526784,-116.5311745,3521.7,1879.89,51.2283,-116.0503
32.9183,76.7122,1123.331541,1455.888521,50.49580332,32.92959129,76.70570727,5414.123017,32.60215537,75.99990095,6437.5,1399.83,33.09,76.7361
48.9246,-113.8481,1120.672389,1374.708675,54.607853,48.93075593,-113.8577882,2130.024087,48.64004763,-113.8797854,3190.65,1595.93,48.3173,-113.3564
-3.1733,129.4556,1119.7642,2565.270739,25.88136362,-3.21132592,129.4268317,3011.753336,-3.300259133,129.5179208,3031.82,3031.82,-5,130
30.3117,67.685,1106.533648,1450.926423,49.6974368,30.30194272,67.69128156,2939.929927,29.83544759,67.93220972,3478.57,1414.93,31.6017,68.0294
43.3525,42.438,1105.628876,2496.108318,26.29168374,43.35167902,42.37576871,4915.270458,42.77684707,41.68316763,5632.35,4735.56,26.5608,63.6531
-4.0833,137.185,1101.003302,2642.829835,24.62012595,-4.133805885,137.1729145,4595.707229,-4.543437655,137.223849,4803.99,4803.99,0,0
54.9681,-128.2317,1100.239642,1424.582145,50.56308503,54.97856027,-128.2327975,2595.605786,54.82413988,-128.3015187,2699.8,1811.72,54.7403,-127.3294
42.4697,13.5644,1096.709666,1882.500408,35.632308,42.47859293,13.59465681,2762.447589,42.62412,13.93664544,2878.17,2436.47,44.3381,8.3503
38.3156,100.2769,1091.699795,1976.308954,33.53135774,38.31967613,100.243263,3294.042363,38.81204273,100.4014563,5064.46,1440.37,38.0025,100.88
61.4375,-147.7517,1090.392997,1720.491638,39.32868859,61.43287923,-147.7135845,3956.785163,61.27664873,-147.7245324,3985.53,3253.53,62.2522,-146.69
51.6567,-117.8669,1085.421793,2210.526587,29.4079139,51.62192885,-117.8578963,2807.38307,51.50308174,-118.3766734,3499.15,2684.28,50.14,-115.8161
2.9239,-76.0269,1083.478885,2605.359839,24.5738236,2.913014891,-76.07993592,4523.431982,2.717285461,-75.43729266,5377.59,2639.25,1.2367,-76.9867
28.3061,97.4669,1080.841841,1767.407199,37.70100576,28.30183027,97.49020766,4896.960372,27.61785301,97.373786,5773.45,1340.71,28.4572,97.4975
48.7768,-121.8145,1076.798076,2204.289406,29.24211898,48.7725626,-121.7617949,3175.815373,48.54025827,-121.8421043,3286.05,2795.93,48.7398,-121.0442
-39.6372,-71.5028,1075.534176,2351.79938,27.21456109,-39.5992933,-71.48138164,3446.412553,-39.71059457,-71.86056052,3745.5,2632.52,-39.4361,-71.4522
-13.7883,-71.2294,1071.012937,1547.116034,43.80960275,-13.7736272,-71.22994319,5261.676166,-13.2825317,-70.68734927,6318.15,2033.09,-14.9881,-71.0044
